	artist	lyrics
0	The Police	"Tied to the tracks and the train's fast coming
Strapped to the wing with the engine running

You say that this wasn't in your plan
And don't mess around with the demolition man

Tied to a chair, and the bomb is ticking
This situation was not of your picking


I'm a walking nightmare, an arsenal of doom
I kill conversation as I walk into the room
I'm a three line whip, I'm the sort of thing they ban
I'm a walking disaster, I'm a demolition man

You come to me like a moth to the flame
It's love you need but I don't play that game
Because you could be my greatest fan
But I'm nobody's friend, I'm a demolition man"
1	Chris Jeday	"Letra de ""Bipolar"" ft. Brytiago, Ozuna
Oh, baby (jajaja)
Brytiago baby
Ya estoy pensando que eres bipolar
Por texto siempre te gusta pelear
Y me llama cuando quiere arreglar
Siempre está pensando mal

Ya me cansé de ti
Llevas tiempo diciendo que te va' (que te va')
Pero te sigo viendo aquí
Se me olvidó que tú eres bipolar-lar, bipolar
Ya me cansé de ti
Llevas tiempo diciendo que te vas (que te vas)
Pero te sigo viendo aquí (te sigo viendo aquí)
Se me olvidó que tú eres bipolar-lar, bipolar

Un día dice' que te vas
Al otro que me amas
Que si el negro no está
Te entra la soledad
Mami, tú eres grande ya
La musa a mí se me va
Si tú me empieza' a pelear
Pero sin ti no puedo estar
No sé cómo decírtelo
Recuerda que hay que hablarte por paso
A veces me quiere pero hay veces siento rechazo
Ya yo me cansé porque de amores no estoy escaso
Creo que pa' mí tú ere' un retraso, baby

Pa' que me acompañe tu maldad
Que me acompañe la soledad (ey, yeh)
Pensé que sin ti no me iba a ir ma-al (ma-al)
Pero caí en otra bipolar (oh, oh)
Pa' que me acompañe tu maldad
Que me acompañe la soledad (no, no)
Pensé que sin ti no me iba a ir ma-al (ma-al)
Pero caí en otra bipolar

Ya me cansé de ti
Llevas tiempo diciendo que te va'  (que te va')
Pero te sigo viendo aquí
Se me olvidó que tú eres bipolar-lar, bipolar
Ya me cansé de ti
Llevas tiempo diciendo que te vas (que te vas)
Pero te sigo viendo aquí (te sigo viendo aquí)
Se me olvidó que tú eres bipolar-lar, bipolar

¿Pa' 'ónde viene' con esa actitud?
Desde hace rato que te la está' buscando
La paciencia me descontrola
Tú peleando hasta sola
Y yo con unas ganas locas de comerte toa'
Contigo soy real y tú no lo valora'
Siempre peleamo' y se le olvida en media hora
Tú te viste' y te vas
Ya no sé qué esperar
Si dice que me adora
Y se le olvida en media hora

Pa' que me acompañe tu maldad
Que me acompañe la soledad (no, no)
Pensé que sin ti no me iba a ir ma-al (ma-al)
Pero caí en otra bipolar

Ya me cansé de ti
Llevas tiempo diciendo que te vas (que te vas)
Pero te sigo viendo aquí (te sigo viendo aquí)
Se me olvidó que tú eres bipolar-lar, bipolar
Ya me cansé de ti
Llevas tiempo diciendo que te vas (que te va')
Pero te sigo viendo aquí
Se me olvidó que tú eres bipolar-lar, bipolar"
2	Duki	
3	Lana Del Rey	"I've seen the world, done it all
Had my cake now
Diamonds, brilliant, and Bel Air now
Hot summer nights, mid-July
When you and I were forever wild
The crazy days, city lights
The way you'd play with me like a child

Will you still love me when I'm no longer young and beautiful?
Will you still love me when I got nothing but my aching soul?
I know you will, I know you will, I know that you will
Will you still love me when I'm no longer beautiful

I've seen the world, lit it up as my stage now
Channeling angels in the new age now
Hot summer days, rock and roll
The way you'd play for me at your show
And all the ways I got to know
Your pretty face and electric soul

Will you still love me when I'm no longer young and beautiful?
Will you still love me when I got nothing but my aching soul?
I know you will, I know you will, I know that you will
Will you still love me when I'm no longer beautiful

Dear Lord, when I get to heaven
Please let me bring my man
When he comes, tell me that you'll let him in
Father tell me if you can
All that grace, all that body
All that face makes me wanna party
He's my sun, he makes me shine like diamonds

Will you still love me when I'm no longer young and beautiful?
Will you still love me when I got nothing but my aching soul?
I know you will, I know you will, I know that you will
Will you still love me when I'm no longer beautiful

Will you still love me when I'm no longer beautiful?
Will you still love me when I'm not young and beautiful?"
4	Carla Morrison	"Déjame tomarte de la mano
Déjame mirarte a los ojos
Déjame a través de mi mirada
Darte todo mi esplendor
Déjame quedarme aquí
Déjame besarte ahí
Donde guardas tus secretos
Los más oscuros y los más bellos

Te regalo mis piernas
Recuesta tu cabeza en ellas
Te regalo mis fuerzas
Úsalas cada que no tengas
Te regalo las piezas
Que a mi alma conforman
Que nunca nada te haga falta a ti
Te voy a amar hasta morir
Te voy a amar hasta morir

Déjame jugar contigo
Déjame hacerte sonreir
Déjame darte de mi dulzura
Pa´que sientas lo que sentí
Déjame cuidarte
Déjame abrazarte
Déjame enseñarte todo lo que tengo
Pa' hacerte muy feliz

Te regalo mis piernas
Recuesta tu cabeza en ellas
Te regalo mis fuerzas
Úsalas cada que no tengas
Te regalo las piezas
Que a mi alma conforman
Que nunca nada te haga falta a ti
Te voy a amar hasta morir
Te regalo mis piernas
Recuesta tu cabeza en ellas
Te regalo mis fuerzas
Úsalas cada que no tengas
Te regalo las piezas
Que a mi alma conforman
Que nunca nada te haga falta a ti
Te voy a amar hasta morir
Te voy a amar hasta morir
Te voy a amar hasta morir"
5	Carla Morrison	"Hoy desperté con ganas de besarte
Tengo una sed de acariciarte
Enredarme a ti y no soltarte
Eres tan embriagante
Eres tú
Eres tú

Quiero contemplarte sin contar el tiempo
Dibujarte con mis puros recuerdos
En mi mente marcarme tus labios, tus besos
Estar aquí otro momento
Eres tú
Eres tú
Eres tú

Me encanta verte, tenerte, abrazarte
Cuando estoy a un lado de ti
Todo lo bueno de mi florece
Eres tú, ese imán de una preciosa energía
Es tu alma que envía señales a mi cuerpo
Porque esté sigue pidiendo ese aroma de ti
Que me invita al acecho
Eres tú
Eres tú
Eres tú

Tenemos planes diferentes
Pero tú siempre en mi mente
Pues mis venas tan sutilmente
Disfrutan tanto quererte
Eres tú
Eres tú

Eres tú
Eres tú
Eres tú"
6	Chris Webby	
7	Cardi B	
8	Akapellah	"Letra de ""Como Mario""

Hey, me comí un percocet que compré en el barrio
Subí otro nivel y ahora vuelo como Mario
Comiendo hongos y montando dinosaurios
Recolectando el oro y subiendo el rango
Hey, me comí un percocet que compré en el barrio
Subí otro nivel y ahora vuelo como Mario
Comiendo hongos y montando dinosaurios
Recolectando el oro y subiendo el rango

Hey, con el truco de la flauta mágica
Me teletransporto para otro mundo
Mi princesa está con el marido
Pero voy pa’ su casa y yo se la tumbo
Nunca solo, siempre con mis niggies
Donde voy siempre me sigue Luigi
Siempre andamos en un vacilón
Bebiendo pila de ron escuchando a Biggie
Somos los reyes de la ciudad, así que mami, déjate llevar
‘Tate ready que me como una estrella
Y en dos minutos te caigo pa’ allá
Dile a ese loco que no te ande fastidiando
Que yo soy el que te rescata desde cuando

Hey, hey, me comí un percocet que compré en el barrio
Subí otro nivel y ahora vuelo como Mario
Comiendo hongos y montando dinosaurios
Recolectando el oro y subiendo el rango
Hey, me comí un percocet que compré en el barrio
Subí otro nivel y ahora vuelo como Mario
Comiendo hongos y montando dinosaurios
Recolectando el oro y subiendo el rango

Hey, estoy volando por los cielos como Mario (como Mario)
Rescatando la princesa como Mario (como Mario, yeh)
Recolectando la moneda como Mario (como Mario, yeh)
Salvando al mundo junto a Luigi como Mario (yeh, yeh, yeh)
Sé que estás aburrida de Bowser
No sé qué haces tú con ese posser
Esta noche me teletransporto
Voy a rescatarte después de las 12
Si tenés unas amigas, diles
Porque voy con Luigi, con Honguito y Yoshi
Nos lanzamos dab de rosi y toditos la pasamos possy

Hey, me comí un percocet que compré en el barrio
Subí otro nivel y ahora vuelo como Mario
Comiendo hongos y montando dinosaurios
Recolectando el oro y subiendo el rango
Hey, me comí un percocet que compré en el barrio
Subí otro nivel y ahora vuelo como Mario
Comiendo hongos y montando dinosaurios
Recolectando el oro y subiendo el rango

Hey
Yeh
Dímelo Maffio
Eso es mental
Yeh, eh
Akapellah, yeh
Akapellah, yeh
Akapellah, yeh
Yeh
Me comí un percocet
Me comí un percocet
Me comí un percocet"
9	Mishelle Master Boys	
10	Mishelle Master Boys	
