	artist	lyrics
0	Depeche Mode	"Let me take you on a trip
Around the world and back
And you won't have to move
You just sit still
Now let your mind do the walking
And let my body do the talking
Let me show you the world in my eyes

I'll take you to the highest mountain
To the depths of the deepest sea
And we won't need a map
Believe me
Now let my body do the moving
And let my hands do the soothing
Let me show you the world in my eyes


That's all there is
Nothing more than you can feel now
That's all there is


Let me put you on a ship
On a long, long trip
Your lips close to my lips
All the islands in the ocean
All the heaven's in motion
Let me show you the world in my eyes

That's all there is
Nothing more than you can touch now
That's all there is


Let me show you the world in my eyes
Let me show you the world in my eyes
Let me show you the world in my eyes
Let me show you the world in my eyes
Let me show you the world in my eyes
Let me show you the world in my eyes
Let me show you the world in my eyes"
1	Depeche Mode	"Reach out, touch faith

Your own personal Jesus
Someone to hear your prayers
Someone who cares
Your own personal Jesus
Someone to hear your prayers
Someone who's there
Feeling unknown
And you're all alone
Flesh and bone
By the telephone
Lift up the receiver
I'll make you a believer
Take second best
Put me to the test
Things on your chest
You need to confess
I will deliver
You know I'm a forgiver
Reach out, touch faith
Reach out, touch faith

Your own personal Jesus
Someone to hear your prayers
Someone who cares
Your own personal Jesus
Someone to hear your prayers
Someone who's there
Feeling unknown
And you're all alone
Flesh and bone
By the telephone
Lift up the receiver
I'll make you a believer
I will deliver
You know I'm a forgiver
Reach out, touch faith
Your own personal Jesus
Reach out, touch faith"
2	New Order	"Won't you please let me go
These words lie inside they hurt me so
And I'm not the kind that likes to tell you
Just what I want to do
I'm not the kind that needs to tell you
Just what you want me to
I saw you this morning
I thought that you might like to know
I received your message in full a few days ago
I understood every word that is said
And now that I've actually heard it
You're going to regret
And I'm not the kind that likes to tell you
Just what you want me to
You're not the kind that needs to tell me
About the birds and the bees
Do you find this happens all the time
Crucial point one day becomes a crime
And I'm not the kind that likes to tell you
Just what I want to do
I'm not the kind that needs to tell you

I've lost you
I've lost you
I've lost you
I've lost you
I've lost you
I've lost you
I've lost you
I've lost you
I've lost you
I've lost you
I've lost you
I've lost you
I've lost you
I've lost you
I've lost you"
3	Billy Idol	"On the floor of Tokyo
Or down in London town to go, go
With the record selection
And the mirror's reflection
I'm dancing with myself
When there's no-one else in sight
In the crowded lonely night
Well I wait so long
For my love vibration
And I'm dancing with myself

Oh oh dancing with myself
Oh oh dancing with myself
Well there's nothing to lose
And there's nothing to prove
I'll be dancing with myself
Oh uh oh oh

If I looked all over the world
And there's every type of girl
But your empty eyes
Seem to pass me by
Leave me dancing with myself

So let's sink another drink
Cause it'll give me time to think
If I had the chance
I'd ask the world to dance
And I'll be dancing with myself

Oh oh dancing with myself
Oh oh dancing with myself
Well there's nothing to lose
And there's nothing to prove
I'll be dancing with myself
Oh uh oh oh

If I looked all over the world
And there's every type of girl
But your empty eyes
Seem to pass me by
Leave me dancing with myself

So let's sink another drink
Cause it'll give me time to think
If I had the chance
I'd ask the world to dance
And I'll be dancing with myself

Oh dancing with myself
Oh dancing with myself
If I had the chance
I'd ask the world to dance
If I had the chance
I'd ask the world to dance
If I had the chance
I'd ask the world to dance
Dancing with myself
Dancing with myself
Dancing with myself
Dancing with myself

If I looked all over the world
And there's every type of girl
But your empty eyes
Seem to pass me by
Leave me dancing with myself

So let's sink another drink
Cause it'll give me time to think
If I had the chance
I'd ask the world to dance
And I'll be dancing with myself

Oh dancing with myself
Oh dancing with myself
If I had the chance
I'd ask the world to dance
If I had the chance
I'd ask the world to dance
If I had the chance
I'd ask the world to dance"
4	Tame Impala	"Someone said they left together
I ran out the door to get her
She was holding hands with Trevor
Not the greatest feeling ever
Said, ""Pull yourself together
You should try your luck with Heather""
Then I heard they slept together
Oh, the less I know the better
The less I know the better

Oh my love, can't you see yourself by my side
No surprise when you're on his shoulder like every night
Oh my love, can't you see that you're on my mind
Don't suppose we could convince your lover to change his mind
So goodbye

She said, ""It's not now or never
Wait ten years, we'll be together""
I said, ""Better late than never
Just don't make me wait forever""
Don't make me wait forever
Don't make me wait forever

Oh my love, can't you see yourself by my side?
I don't suppose you could convince your lover to change his mind

I was doing fine without ya
'Til I saw your face, now I can't erase
Giving in to all his bullshit
Is this what you want, is this who you are?
I was doing fine without ya
'Til I saw your eyes turn away from mine
Oh, sweet darling, where he wants you
Said, ""Come on Superman, say your stupid line""
Said, ""Come on Superman, say your stupid line""
Said, ""Come on Superman, say your stupid line"""
5	Daft Punk	"I didn't want to be the one to forget
I thought of everything I'd never regret
A little time with you is all that I get
That's all we need because it's all we can take
One thing I never see the same when you're 'round
I don’t believe in him — his lips on the ground
I wanna take you to that place in the “Roche”
But no one gives us any time anymore
He ask me once if I’d look in on his dog
You made an offer for it, then you ran off
I got this picture of us kids in my head
And all I hear is the last thing that you said

""I listened to your problems
Now listen to mine""
I didn't want to anymore, oh

And we will never be alone again
Cause it doesn't happen every day
Kinda counted on you being a friend
Can I give it up or give it away?
Now I thought about what I wanna say
But I never really know where to go
So I chained myself to a friend
Cause I know it unlocks like a door
And we will never be alone again
Cause it doesn't happen every day
Kinda counted on you being a friend
Gotta give it up or give it away
Now I thought about what I wanna say
But I never really know where to go
So I chained myself to a friend
Some more again

It didn't matter what they wanted to see
He thought he saw someone that looked just like me
The summer memory that just never dies
We worked too long and hard to give it no time
He sees right through me, it's so easy with lies
Cracks in the road that I would try and disguise
He runs his scissor at the seam in the wall
He cannot break it down or else he would fall
1,000 lonely stars hiding in the cold
Take it, oh I don't wanna sing anymore

""I listened to your problems
Now listen to mine""
I didn't want to anymore, oh

And we will never be alone again
Cause it doesn't happen every day
Kinda counted on you being a friend
Can I give it up or give it away?
Now I thought about what I wanna say
But I never really know where to go
So I chained myself to a friend
Cause I don't know what else I can do
And we will never be alone again
Cause it doesn't happen every day
Kinda counted on you being a friend
Can I give it up or give it away?
Now I thought about what I wanna say
But I never really know where to go
So I chained myself to a friend
Cause I don't know what else I–

I don't understand, don't get upset
I'm not with you
We’re swimming around, it's all I do
When I'm with you

And we will never be alone again
Cause it doesn't happen every day
Kinda counted on you being a friend
Can I give it up or give it away?
Now I thought about what I wanna say
But I never really know where to go
So I chained myself to a friend
Cause I don't know what else I can do
And we will never be alone again
Cause it doesn't happen every day
Kinda counted on you being a friend
Can I give it up or give it away?
Now I thought about what I wanna say
But I never really know where to go
So I chained myself to a friend
Cause I don't know what else I can do"
6	Daft Punk	"Let the music in tonight
Just turn on the music
Let the music of your life
Give life back to music
Let the music in tonight
Just turn on the music
Let the music of your life
Give life back to music
Let the music in tonight
Just turn on the music
Let the music of your life
Give life back to music
Let the music in tonight
Just turn on the music
Let the music of your life
Give life back to music


Give life back to music
Give life back to music

Let the music in tonight
Just turn on the music
Let the music of your life
Give life back to music
Let the music in tonight
Just turn on the music
Let the music of your life
Give life back to music
Let the music in tonight
Just turn on the music
Let the music of your life
Give life back to music
Let the music in tonight
Just turn on the music
Let the music of your life
Give life back to music"
7	Queen	"One two three four

While the sun hangs in the sky and the desert has sand
While the waves crash in the sea and meet the land
While there's a wind and the stars and the rainbow
Till the mountains crumble into the plain

Oh yes we'll keep on trying
Tread that fine line
Oh we'll keep on trying yeah
Just passing our time

While we live according to race, color or creed
While we rule by blind madness and pure greed
Our lives dictated by tradition, superstition, false religion
Through the eons, and on and on

Oh yes we'll keep on trying
We'll tread that fine line
Oh we'll keep on trying
Till the end of time
Till the end of time

Through the sorrow all through our splendor
Don't take offence at my innuendo


You can be anything you want to be
Just turn yourself into anything you think that you could ever be
Be free with your tempo, be free be free
Surrender your ego - be free, be free to yourself


If there's a God or any kind of justice under the sky
If there's a point, if there's a reason to live or die
If there's an answer to the questions we feel bound to ask
Show yourself - destroy our fears - release your mask

Oh yes we'll keep on trying
Hey! Tread that fine line
Yeah, we'll keep on smiling, yeah
And whatever will be, will be

We'll just keep on trying
We'll just keep on trying
Till the end of time
Till the end of time
Till the end of time"
8	Elton John	"She packed my bags last night, pre-flight
Zero hour: 9:00 a.m
And I'm gonna be high as a kite by then
I miss the Earth so much, I miss my wife
It's lonely out in space
On such a timeless flight

And I think it's gonna be a long, long time
'Til touchdown brings me 'round again to find
I'm not the man they think I am at home
Oh no, no, no! I'm a rocket man
Rocket man! Burning out his fuse up here alone
And I think it's gonna be a long, long time
'Til touchdown brings me 'round again to find
I'm not the man they think I am at home
Oh no, no, no! I'm a rocket man
Rocket man! Burning out his fuse up here alone

Mars ain't the kind of place to raise your kids
In fact, it's cold as hell
And there's no one there to raise them if you did
And all this science I don't understand
It's just my job five days a week
A rocket man! A rocket man!

And I think it's gonna be a long, long time
'Til touchdown brings me 'round again to find
I'm not the man they think I am at home
Oh no, no, no! I'm a rocket man
Rocket man! Burning out his fuse up here alone
And I think it's gonna be a long, long time
'Til touchdown brings me 'round again to find
I'm not the man they think I am at home
Oh no, no, no! I'm a rocket man
Rocket man! Burning out his fuse up here alone

And I think it's gonna be a long, long time
And I think it's gonna be a long, long time
And I think it's gonna be a long, long time
And I think it's gonna be a long, long time
And I think it's gonna be a long, long time
And I think it's gonna be a long, long time
And I think it's gonna be a long, long time
And I think it's gonna be a long, long time
And I think it's gonna be a long, long time"
9	Guns N' Roses	"I'm a cold heartbreaker, fit to burn
And I'll rip your heart in two
And I'll leave you lying on the bed
I'll be out the door before you wake
It's nothing new to you
'Cause I think we've seen that movie, too

'Cause you could be mine
But you're way out of line
With your bitch slap rapping and your cocaine tongue
You get nothing done
I said, you could be mine

Now, holidays come, and then they go
It's nothing new, today
Collect another memory
When I come home, late at night
Don't ask me where I've been
Just count your stars I'm home again

'Cause you could be mine
But you're way out of line
With your bitch slap rapping and your cocaine tongue
You get nothing done
I said, you could be mine
You could be mine
You could be mine
You could be mine
You could be mine
You could be mine, mine, mine ,mine

You've gone sketching too many times
Why don't you give it a rest?
Why must you find another reason to cry?


Well, you're breaking down my back and I've been racking out my brain
It don't matter how we make it, 'cause it always ends the same
You can push it for more mileage, but your flaps are wearing thin
And I could sleep on it until morning, but this nightmare never ends
Don't forget to call my lawyers with ridiculous demands
An' you can take the pity so far, but it's more than I can stand
Cause this couch-trip's getting older
Tell me how long has it been?
'Cause 5 years is forever, and you haven't grown up yet

You could be mine
But you're way out of line
With your bitch slap rappin' and your cocaine tongue
You get nothing done
I said, you could be mine
You should be
You could be mine
You could be mine
You could be mine
You could be mine
You could be mine
You could be mine
You could be mine
Yeah"
